valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year,prix_mcarre
147200.0,31560,Nailloux,Maison,66.0,3.0,,0.0,2022,2230.3030303030305
325690.0,31560,Nailloux,Maison,154.0,5.0,sols,817.0,2022,2114.87012987013
349631.0,31560,Nailloux,Maison,125.0,5.0,sols,1000.0,2022,2797.048
191000.0,31560,Nailloux,Maison,100.0,4.0,sols,218.0,2022,1910.0
239050.0,31560,Nailloux,Maison,137.0,6.0,sols,158.0,2022,1744.890510948905
160000.0,31560,Nailloux,Maison,88.0,4.0,sols,1069.0,2022,1818.1818181818182
165200.0,31560,Nailloux,Maison,115.0,5.0,sols,1585.0,2022,1436.5217391304348
40000.0,31560,Nailloux,Maison,108.0,3.0,sols,712.0,2022,370.3703703703704
325001.0,31560,Nailloux,Maison,160.0,4.0,sols,1569.0,2022,2031.25625
270700.0,31560,Nailloux,Maison,88.0,4.0,sols,1031.0,2022,3076.1363636363635
103000.0,31560,Nailloux,Maison,64.0,3.0,,0.0,2022,1609.375
420150.0,31560,Nailloux,Maison,128.0,5.0,sols,1000.0,2022,3282.421875
197925.0,31560,Nailloux,Maison,100.0,3.0,sols,352.0,2022,1979.25
220000.0,31560,Nailloux,Maison,102.0,4.0,sols,1358.0,2022,2156.8627450980393
278500.0,31560,Nailloux,Maison,110.0,5.0,sols,700.0,2022,2531.818181818182
183000.0,31560,Nailloux,Maison,90.0,4.0,,0.0,2022,2033.3333333333333
110000.0,31560,Nailloux,Maison,81.0,4.0,sols,296.0,2022,1358.0246913580247
395000.0,31560,Nailloux,Maison,136.0,6.0,sols,948.0,2022,2904.4117647058824
234800.0,31560,Nailloux,Maison,78.0,4.0,,0.0,2022,3010.25641025641
130000.0,31560,Nailloux,Maison,92.0,4.0,sols,1005.0,2022,1413.0434782608695
100000.0,31560,Nailloux,Maison,76.0,4.0,sols,275.0,2022,1315.7894736842106
235550.0,31560,Nailloux,Maison,75.0,3.0,sols,488.0,2022,3140.6666666666665
180000.0,31560,Nailloux,Maison,89.0,4.0,sols,429.0,2022,2022.4719101123596
334000.0,31560,Nailloux,Maison,144.0,4.0,sols,391.0,2022,2319.4444444444443
161041.0,31560,Nailloux,Maison,84.0,4.0,,0.0,2022,1917.154761904762
87500.0,31560,Nailloux,Maison,90.0,3.0,sols,40.0,2022,972.2222222222222
138862.0,31560,Nailloux,Maison,64.0,3.0,,0.0,2022,2169.71875
150000.0,31560,Nailloux,Maison,65.0,3.0,,0.0,2022,2307.6923076923076
220400.0,31560,Nailloux,Maison,105.0,5.0,sols,779.0,2022,2099.0476190476193
158148.5,31560,Nailloux,Maison,81.0,4.0,,0.0,2022,1952.4506172839506
265000.0,31560,Nailloux,Maison,97.0,4.0,sols,775.0,2022,2731.958762886598
445700.0,31560,Nailloux,Maison,106.0,4.0,terrains d'agrément,1192.0,2022,4204.7169811320755
122500.0,31560,Nailloux,Maison,167.0,6.0,sols,1166.0,2022,733.5329341317365
253000.0,31560,Nailloux,Maison,72.0,4.0,sols,996.0,2022,3513.8888888888887
596800.0,31560,Nailloux,Maison,280.0,9.0,sols,1000.0,2022,2131.4285714285716
255000.0,31560,Nailloux,Maison,90.0,4.0,sols,575.0,2022,2833.3333333333335
395000.0,31560,Nailloux,Maison,111.0,5.0,sols,673.0,2022,3558.5585585585586
314500.0,31560,Nailloux,Maison,110.0,5.0,sols,508.0,2022,2859.090909090909
327100.0,31560,Nailloux,Maison,91.0,4.0,sols,508.0,2022,3594.5054945054944
144648.0,31560,Nailloux,Maison,64.0,3.0,,0.0,2022,2260.125
